user_id,user_name,user_location,user_friends_count,created_time,retweet_count,favourite_count,original_text
2442822186,Savory Bites,,1614,2020-03-09 16:52:06,2,0,"#ad Coconut Mustard Rice is just the dish for you if you need to put together a quick tasty dinner. Just a few seasonings, some rice and you're done. It doesn't get any simpler than this. https://t.co/kgcUBMKjQS #mymaille #mustardrice #coconut #vegan https://t.co/gpO0Ye1G9Z"
2869316606,Racy Wallace,London,1339,2020-03-09 16:51:58,61,0,"""The greatest privilege that comes with freedom of speech
is using your voice for those who don't have one"" @RickyGervais🙊📢
Our silence condemns #animals to suffer in silence too💔
Go #vegan💖 
@Protect_Wldlife @PeterEgan6 @Ivy_MiddletonUK @RobRobbEdwards @zbleumoon @Veganella_ https://t.co/v2qDMSevT8"
19244127,Sherrill Barbary,"New Jersey, USA",1908,2020-03-09 16:51:47,64,0,"#Meat-eaters finance #animal suffering🐂
#Animals repay this by shortening their lives!
This metaphorically sums up the relationship🤯
If #AnimalAbuse sickens you, or you care about your #health, go #vegan💖
@RickyGervais @Ivy_Middleton @Protect_Wldlife @RobRobbEdwards @zbleumoon https://t.co/uruSliXmnZ"
1035209215,Phil,"Bedford, England",2214,2020-03-09 16:51:33,1,0,"Lunch at @CostaCoffee today. Tried their all day breakfast panini and my fave rocky road 💚

#vegan #veganfood https://t.co/veJ0TBrkvl"
1467188371,Connie,,138,2020-03-09 16:51:30,0,0,"Do you know what’s in your wine?
#Vegan #glutenfree #cleancraftedwine #winelover https://t.co/pYGXXpHsp3"
105130967,Ana Lee♒,in your heart & in your mind,2420,2020-03-09 16:51:04,76,0,"“The soul is the same in all living creatures, although the body of each is different.” - Hippocrates 💚

#mondaythoughts #vegan #govegan https://t.co/mnFhcamJsf"
432079857,Derrick Mathis,"Fairburn, GA",3442,2020-03-09 16:51:01,36,0,"Seasonal Veg of the Day

 🌱🌱🌱🌱Beetroot!🌱🌱🌱🌱

There are so many reasons to love this vegetable. Read on! 

#vegan #MondayMorning #veggies 
#seasonal #Sustainability https://t.co/wkBr8ukgEj"
1230325038802489344,Reducetarians,United States,12,2020-03-09 16:50:54,0,0,We will start posting Reducetarian diet tips as college students every Monday and Wednesday! #reducetarians #lessmeat #veganism #flexitarien #Vegan #lessbutbetter #Tips #diets #diet #domore #health https://t.co/ykJfIy5lc3
35010503,Kathy Harrison🇺🇸,Maryland,8439,2020-03-09 16:50:49,63,0,"Think the #lamb and #wool industry is lovely and cuddly?
Think again.
Go #Vegan.
Don't pay people who torture and abuse animals a penny.
https://t.co/IcgAfT1S9k"
2283836983,Sathish,chennai,703,2020-03-09 16:50:40,340,0,"🌿 forever besties...

this made my heart smile.
hope u feel it, also 🌷

just two kids, hanging out 🐶😻

Animals form close bonds,
&amp; friendships; just
as humans do

please be kind to Animals

#animalrights #animalwelfare #dogsoftwitter #catsoftwitter
#govegan #vegan #love 💛 https://t.co/2WVSp39iUo"
1133093023066284033,janeblyth4,"England, United Kingdom",3586,2020-03-09 16:50:31,19,0,"OUT NOW! This month we caught up with the lovely @imLucyWatson to talk all things #Vegan. 

To read for free now, head straight over to -https://t.co/GG9UgxOqiS #health #wellbeing 💚 https://t.co/TZCVjnmli4"
1091202427179749379,🧢Universal Basic Income🧢,,526,2020-03-09 16:50:24,35,0,"The game just changed. Sausage, @eatjust egg, and cheese biscuit w/ jalapeño and spicy mayo. #vegan https://t.co/oqcV9n1rHU"
1188205760024633344,Regina,,138,2020-03-09 16:50:02,38,0,"The dairy industry takes babies from their mums (and kills them).
Go #Vegan.
Never pay a penny for cruelty.
#internationalwomensday #dairyisscary https://t.co/Fk1ny4UXSl"
711842424872693760,Those Vegan Guys,"Oldham, England",1761,2020-03-09 16:49:22,0,1,"Is @franktufan a self hating gay vegan?  And other pointless questions.

Another random kitchen vlog

#vegan #vegans #plantbased #veganism #LGBTQ #Manchester 

https://t.co/1i525PuW4K"
1140230448049786880,S'All Over The Place Ⓥ,Always left of centre and that's right where I belong,16,2020-03-09 16:49:09,3,0,"Research from the University of Oxford states that transitioning to a vegan diet is the ‘single biggest way’ to reduce our environmental impact on the planet. Go vegan today. For the animals, for you and for the planet. 🌍🌱 #vegan #ClimateEmergency https://t.co/479UNIxUIi"
1380823454,Cate Ⓥ🇬🇧🇺🇸🐶🐓🐠🦥,Happily Married👸🏻,3586,2020-03-09 16:49:04,60,0,"First I was angry🤬
Now I'm crying👁️👁️💦
Crying for every day I wasn't vegan🤔
Crying because I financed this horror🐮
Crying for every life I ended💔

CRYING SORRY💔

Go #vegan💖

@Ivy_MiddletonUK @RobRobbEdwards @Protect_Wldlife @PeterEgan6 @RickyGervais
https://t.co/zC5dMyR8az"
726735475,nicola mckenna,Birmingham,904,2020-03-09 16:48:59,1,0,It’s a #vegan #brownie kinda day today! Cookies and cream and fudge 😄 #veganbaking #veganrecipes https://t.co/8l45XtPzqR
341620546,@SanDiegoLabel,la jolla,80,2020-03-09 16:48:43,0,1,It’s worth it. Go find your treasure. It’s there you just have to go get it. #sandiegolabel #sandiego #label #madeinusa #thankful #labels  #branding #packaging  #custom #weatherproof #vegan #vegetarian  #plantbased #organic #healthylabels #costsavings #cbd #cannabis #supplements https://t.co/PgMeUu1xmE
371261200,Marylène,Leigh on Sea,915,2020-03-09 16:48:25,61,0,"""The greatest privilege that comes with freedom of speech
is using your voice for those who don't have one"" @RickyGervais🙊📢
Our silence condemns #animals to suffer in silence too💔
Go #vegan💖 
@Protect_Wldlife @PeterEgan6 @Ivy_MiddletonUK @RobRobbEdwards @zbleumoon @Veganella_ https://t.co/v2qDMSevT8"
1234012369811984384,Reana's STYLE,,79,2020-03-09 16:48:19,0,0,"Recipe of a day ：thai style green curry .

A taste that sometimes makes you want to eat asexually😆

#Vegan and #glutenfree food .

 https://t.co/V9V5F8Rs5W https://t.co/773hQXr3Ah"
1188205760024633344,Regina,,138,2020-03-09 16:48:14,16,0,"Yet more horrors from a supposedly lovely, cuddly farm in the UK.
And, you guessed it, it's 'Red Tractor' approved.
Go #Vegan.
Never pay a penny for cruelty.
#jeremyvine #animalcruelty #chicken 
https://t.co/DiN129Igrk"
1663887265,Cook Like A Yogi,,27,2020-03-09 16:47:36,0,0,"Mung Beans and Spinach Soup

https://t.co/ejuBMg1YTH

#modernindian #modernindianfood #modernindiancuisine #hocsupperclub #indianspices 
#baltimoresupperclub #indianfood #vegan #veganfood #veganfoodshare #vegansofig #plantbased #baltimorefoodies #mungbeansandspinachsoup https://t.co/wmeF1qRKiu"
52145157,Raphael Rusitzka,European with south GER roots,667,2020-03-09 16:47:25,0,0,"Rethinking #vegan well: not alternatives for meat, but tasty, healthy &amp; new right away!

Michelin starred chef @FrankRosin1 invents vegan, new products.

#Veganism will succeed when it‘s tastier &amp; better &amp; exciting.

It‘s called #GreenRosin watch out!

https://t.co/kyKs8tZuQI"
707044558929072128,Sharon Lynn,,651,2020-03-09 16:47:19,8,0,The least I can do is speak out for those who cannot speak for themselves. - Jane Goodall #vegan https://t.co/p961pfJuTQ
1094196238180904960,Freehaus,"1 Howard Road, Brighton, BN2 9",156,2020-03-09 16:47:14,0,0,"Monday means one thing... #fluxvegan are back! Yay!

#MeatFreeMonday just got that much better! Treat yourself to healthy delicious plant based goodness.

Serving 5 - 9pm

#VeganBurgers #VeganWings #MeatFree #Monday #Vegan #PlantBased #Brighton #BrightonVegan #Tacos https://t.co/958UxjjrMz"
732118966479552513,Roger Stanley,"Poole, England",1004,2020-03-09 16:46:40,99,0,"#WIN 🤞
Calling all cake lovers ...... Here is your chance to win  a bundle of #vegan cakes from @loveoggs

Enter here 👉 https://t.co/g3U6UNoNMA

#competition #giveaway #cake #dairyfree #eggfree https://t.co/mftw1unKeS"
4842286349,Chasinggabbieabbie,"North Pole, Alaska",1820,2020-03-09 16:46:37,23,0,"Hey #Potato fans. Today I have come up with a very simple but super elegant dish #HasselbackPotatoes with #Garlic. It has perfect crispy skin and tender from inside. #hasselbackrecipe from scratch.
https://t.co/ELFPmGCP33
#homemade #delicious  #vegetarian #vegan #goodfood #baked"
827979848907948032,Learner Vegan,"England, United Kingdom",906,2020-03-09 16:46:27,1,1,"Lunch at @CostaCoffee today. Tried their all day breakfast panini and my fave rocky road 💚

#vegan #veganfood https://t.co/veJ0TBrkvl"
3230648830,VeganAdvocate Ⓥ,Earth (until we destroy it),4899,2020-03-09 16:46:22,1,0,A delicious vegan of the Banh Mi sandwich with crunchy peanut crusted tofu. https://t.co/ZkB3YpXpQK #vegan #bearplate https://t.co/qk1YbDBfHb
1062837854894768129,Tied In Nature,Northern Indiana ,692,2020-03-09 16:46:21,75,0,"Who’s tried my #vegan lip balms? 🖤 
If you’ve tried my lip scrubs then you’ll definitely love my lip balms! They pair together perfectly🖤 Heres some reviews on my lip scrubs Incase you haven’t seen them either 👀 Currently for lip balms I have: Cherry, Lavender &amp; coconut🖤 https://t.co/y6Q13MnuHX"
1097839935971840001,MMJ news,"Manchester, England",38,2020-03-09 16:46:04,0,0,"At £4.99, this is the most expensive purchase on my vegan expedition. However it was by far the biggest, most filling and was made up of the most components. I would also go as far to say that it’s the tastiest fast food vegan burger available on the high street. #vegan https://t.co/ku6UJ2Xw1m"
3230648830,VeganAdvocate Ⓥ,Earth (until we destroy it),4899,2020-03-09 16:46:00,2,0,"Vegan hot cross buns – these eggless and dairy-free vesions of the classic British Easter treat are perfectly soft, fluffy and full of flavour. Served split, toasted and buttered they make a wonderful breakfast or snack. https://t.co/oQ1B4yXLnO #Vegan #veganrecipe https://t.co/y1UZ8racjZ"
100744172,Travis,Hamiltron NZ,85,2020-03-09 16:45:57,373,0,"Problems are only solved by #compassion💖🐢
Ignore it &amp; they only get worse💔
Use it as the prism through which we see life &amp; the best solutions always become clear👁👁💕
It's why I'm #vegan💖

@RickyGervais @Ivy_MiddletonUK @PeterEgan6 @Protect_Wldlife @RobRobbEdwards @zbleumoon https://t.co/TcPpHVs7OZ"
47163915,Cassandra Holmes,"Roscommon, Ireland ",411,2020-03-09 16:45:56,0,0,"@foodsofathenry Treats are the best!
🌏🐾🌱
 #glutenfree #dairyfree #eggfree #wheatfree #celiacfriendly #celiacdisease #vegan #veganfood #veganeats #veganshare  #veganlife #veganlifestyle #vegansofinstagram #plantbased… https://t.co/okvWVEXSK9"
1055610979348832256,AVσιcεFσяTнεAиιмαlѕⓋ,🌎🌏🌍,374,2020-03-09 16:45:43,86,0,"We don't eat #animals🐮
We don't wear them.
We don't kill them for fun.
We don't drink their growth liquid.
We don't want them to entertain us.
We don't pretend to know them.
We just know, we know enough to go #vegan💖 

@Protect_Wldlife @PeterEgan6 @Ivy_Middleton @RobRobbEdwards https://t.co/l5uJr5gxZ6"
1190333629630754816,Vegan Meme 🌱😂,,1,2020-03-09 16:45:42,0,0,"Open to discuss veganism anytime 😄🌱
.
👉 (via: @vegan_sarcasm)
.
https://t.co/rOiH7pRs0Y
.
#vegan #plantbased #govegan #veganlifestyle # veganhumor #crueltyfree #vegancommunity #veganshumor #veganfood #veganmemes #veganmeme https://t.co/uwd1X4wGQy"
107209093,Maryfloor для России وإيران وسوريا,,4534,2020-03-09 16:45:33,61,0,"""The greatest privilege that comes with freedom of speech
is using your voice for those who don't have one"" @RickyGervais🙊📢
Our silence condemns #animals to suffer in silence too💔
Go #vegan💖 
@Protect_Wldlife @PeterEgan6 @Ivy_MiddletonUK @RobRobbEdwards @zbleumoon @Veganella_ https://t.co/v2qDMSevT8"
16877302,Dan Pontarlier,"Paris, France",294,2020-03-09 16:45:30,2,0,"""If you are looking for a cruelty-free and ethical fashion accessory for mum, the cross-body wristlet clutch from Live in the Light is an excellent choice"" - thanks @UKTrave11er for including us in your #mothersdaygift guide - 
https://t.co/LJa4BPEE8Z
#vegan #veganfashion https://t.co/BX5Vtkdq3r"
1352399714,Miranda McEwan,United Kingdom,951,2020-03-09 16:45:12,953,0,"I think we all know someone that we wish was as tidy as this neat little pig! 🤐🤣🧸🐷🐖

Look how smart he is! 🤓 #vegan #EachforEqual #SundayThoughts https://t.co/UahGlQhEA8"
211539670,EatSmart Products,,7918,2020-03-09 16:45:07,0,0,Perfect for Meatless Monday or any day of the week! Cannelloni Bean and Broccoli Rabe Meatballs: https://t.co/G1y5n8RSqK #eatsmart #vegetarian #MeatlessMonday #vegan #recipe https://t.co/3Id8xRZzXX
2585727103,Selivanenko Larisa,,207,2020-03-09 16:44:40,1,0,"A new afternoon tea

@TheBotanics #RoyalBotanicGarden #Edinburgh #Scotland #Scottish #food #restaurants #dining #eatingout #vegan #glutenfree

https://t.co/ucSJ0rZmSD"
